CustomerID,recency,frequency,monetary,R-Score,F-Score,M-Score,RFM_Score,Segment,Cluster,Cluster_Name,Churn_Risk
12346,529,11,372.86,1,5,2,8,At Risk,0,Churned,0.7154471544715447
12347,2,8,4921.53,5,4,5,14,Champions,1,Active Regular,0.0013550135501355014
12348,75,5,2019.3999999999999,3,4,4,11,Loyal,1,Active Regular,0.1002710027100271
12349,19,4,4428.6900000000005,5,3,5,13,Champions,1,Active Regular,0.024390243902439025
12350,310,1,334.40000000000003,2,1,2,5,Lost,0,Churned,0.4186991869918699
12351,375,1,300.93,2,1,2,5,Lost,0,Churned,0.5067750677506775
12352,36,10,2849.84,4,5,4,13,Champions,1,Active Regular,0.04742547425474255
12353,204,2,406.76,2,2,2,6,At Risk,1,Active Regular,0.2750677506775068
12354,232,1,1079.4,2,1,3,6,At Risk,1,Active Regular,0.3130081300813008
12355,214,2,947.61,2,2,3,7,At Risk,1,Active Regular,0.2886178861788618
12356,23,6,6371.7300000000005,4,4,5,13,Champions,1,Active Regular,0.02981029810298103
12357,33,3,18287.66,4,3,5,12,Champions,2,High Value,0.04336043360433604
12358,2,5,3887.07,5,4,5,14,Champions,1,Active Regular,0.0013550135501355014
12359,58,10,8873.39,4,5,5,14,Champions,1,Active Regular,0.07723577235772358
12360,52,8,4252.89,4,4,5,13,Champions,1,Active Regular,0.06910569105691057
12361,287,4,511.25,2,3,2,7,At Risk,0,Churned,0.3875338753387534
12362,3,11,5356.2300000000005,5,5,5,15,Champions,1,Active Regular,0.0027100271002710027
12363,110,2,552.0,3,2,2,7,At Risk,1,Active Regular,0.14769647696476965
12364,8,4,1313.1,5,3,4,12,Champions,1,Active Regular,0.009485094850948509
12365,291,2,641.38,2,2,3,7,At Risk,0,Churned,0.39295392953929537
12366,634,1,500.24,1,1,2,4,Lost,0,Churned,0.8577235772357723
12367,4,1,168.9,5,1,1,7,At Risk,1,Active Regular,0.0040650406504065045
12368,628,1,917.7,1,1,3,5,Lost,0,Churned,0.8495934959349594
12369,413,3,1791.15,1,3,4,8,At Risk,0,Churned,0.5582655826558266
12370,51,7,4316.56,4,4,5,13,Champions,1,Active Regular,0.06775067750677506
12371,45,5,4067.38,4,4,5,13,Champions,1,Active Regular,0.05962059620596206
12372,72,3,1298.04,3,3,4,10,Loyal,1,Active Regular,0.09620596205962059
12373,311,3,1127.65,2,3,3,8,At Risk,0,Churned,0.42005420054200543
12374,25,4,2989.2200000000003,4,3,5,12,Champions,1,Active Regular,0.032520325203252036
12375,11,2,457.5,5,2,2,9,Loyal,1,Active Regular,0.013550135501355014
12376,390,2,503.15,2,2,2,6,At Risk,0,Churned,0.5271002710027101
12377,315,4,3426.32,2,3,5,10,Loyal,0,Churned,0.4254742547425474
12378,130,2,5416.32,3,2,5,10,Loyal,1,Active Regular,0.17479674796747968
12379,82,4,1620.22,3,3,4,10,Loyal,1,Active Regular,0.10975609756097561
